# 42 vertices, index -8=neighbor-does-not-exist
-2  1  9  17  25  33  -8  .000106333
-1  6  14  22  30  38  -8  3.496817557
0  37  1  35  2  3  -8  .544833200
1  0  -1  33  3  8  35  7.035861971
2  39  3  0  4  5  37  7.355218443
3  2  8  1  5  8  0  39.618486994
4  39  5  2  6  7  -8  .946178763
5  4  8  3  7  10  2  30.380701501
6  37  7  4  -2  14  39  .062877590
7  6  10  5  14  12  4  11.634923202
8  5  9  3  10  11  -8  40.657394976
9  8  -1  1  11  16  3  63.610901693
10  7  11  8  12  13  5  21.397341024
11  10  16  9  13  16  8  101.363347406
12  7  13  10  14  15  -8  .529142061
13  12  16  11  15  18  10  45.272915107
14  5  15  12  -2  22  7  .298964015
15  14  18  13  22  20  12  2.340437567
16  13  17  11  18  19  -8  156.557651112
17  16  -1  9  19  24  11  57.241637590
18  15  19  16  20  21  13  22.309413693
19  18  24  17  21  24  16  50.625918802
20  15  21  18  22  23  -8  2.708116689
21  20  24  19  23  26  18  .484544825
22  13  23  20  -2  30  15  .684064015
23  22  26  21  30  28  20  .794908437
24  21  25  19  26  27  -8  .013187050
25  24  -1  17  27  32  19  1.077269627
26  23  27  24  28  29  21  .083721308
27  26  32  25  29  32  24  1.282938890
28  23  29  26  30  31  -8  .003174373
29  28  32  27  31  34  26  .001576206
30  21  31  28  -2  38  23  .039789201
31  30  34  29  38  36  28  .000000000
32  29  33  27  34  35  -8  14.587079692
33  32  -1  25  35  0  27  10.495004160
34  31  35  32  36  37  29  10.089733130
35  34  0  33  37  0  32  23.846876467
36  31  37  34  38  39  -8  11.509380871
37  36  0  35  39  2  34  15.150347554
38  29  39  36  -2  6  31  1.424546246
39  38  2  37  6  4  36  14.625058268

